Table Names,item,size,category,quantity,net_sales,gross_sales,cost,net_margin,gross_margin
tavern july.csv,Jaeger Schnitzel,,FOOD,285,6152.97,6282.5,712.5,5440.47,5570
tavern july.csv,New York Strip Steak,,FOOD,11,176,176,116.38,59.62,59.62
tavern july.csv,Shrimp Kabobs,,FOOD,208,4060.33,4162,963.04,3097.29,3198.96
tavern july.csv,Side Applesauce,,FOOD,1,0,0,,,
tavern july.csv,Side Baked Pot,,FOOD,2,6,6,,,
tavern july.csv,Side Broccoli,,FOOD,3,0,0,,,
tavern july.csv,Side Caesar Salad,,FOOD,4,0,0,6.36,0,0
tavern july.csv,Side Garden Salad,,FOOD,14,0,0,22.26,0,0
tavern july.csv,Side Spinach,,FOOD,3,9,9,,,
tavern july.csv,Side Veg,,FOOD,74,0,0,,,
tavern july.csv,Sweet Fries,,FOOD,12,36,36,19.92,16.08,16.08
tavern july.csv,Vegetable Stir Fry,,FOOD,216,4283.45,4482.5,557.28,3726.17,3925.22
tavern july.csv,Total,,,1972,31090.14,32209,6283.94,,
sandwich july.csv,Adult Grilled Cheese,,FOOD,7,72.77,83,,,
sandwich july.csv,BLT,,FOOD,5,65,65,,,
sandwich july.csv,Baked Potato,,FOOD,17,0,0,,,
sandwich july.csv,Buffalo Chicken Sandwich,,FOOD,12,107.5,188,,,
sandwich july.csv,Chicken Burger,,FOOD,96,1477.69,1580.75,480,997.69,1100.75
sandwich july.csv,Chicken Cutlet Club,,FOOD,210,3046.15,3183.75,644.7,2401.45,2539.05
sandwich july.csv,Chicken Parmesan Sandwich,,FOOD,13,145.5,183,,,
sandwich july.csv,Chicken Parmigiana,,FOOD,32,0,0,143.68,0,0
sandwich july.csv,Chicken Salad Pita,,FOOD,314,4881.22,5035,963.98,3917.24,4071.02
sandwich july.csv,Crab Cake Sandwich,,FOOD,345,6094.6,6221,2642.7,3451.9,3578.3
sandwich july.csv,French Dip,,FOOD,290,5460.05,5818,2201.1,3258.95,3616.9
sandwich july.csv,French Fries,,FOOD,490,879.5,879.5,357.7,521.8,521.8
sandwich july.csv,Honey Mustard Chicken Wrap,,FOOD,276,3834.65,4149.5,767.28,3067.37,3382.22
sandwich july.csv,Loaded Fries,,FOOD,1,3.5,3.5,,,
sandwich july.csv,Lobster Roll,,FOOD,230,5635.35,5769,2833.6,2801.75,2935.4
sandwich july.csv,Onion Petals,,FOOD,22,66,66,85.36,-19.36,-19.36
sandwich july.csv,Side Applesauce,,FOOD,1,0,0,,,
sandwich july.csv,Side Caesar Salad,,FOOD,15,0,0,23.85,0,0
sandwich july.csv,Side Garden Salad,,FOOD,32,4,4,50.88,-46.88,-46.88
sandwich july.csv,Side Veg,,FOOD,15,0,0,,,
sandwich july.csv,Sweet Fries,,FOOD,322,798,798,534.52,263.48,263.48
sandwich july.csv,The Smokehouse Burger,,FOOD,345,6080.8,6224,1555.95,4524.85,4668.05
sandwich july.csv,The Usual Burger,,FOOD,439,6711.51,6959.25,1387.24,5324.27,5572.01
sandwich july.csv,Total,,,3529,45363.79,47210.25,14672.54,,
