item,size,category,sku,quantity,net_sales,gross,cost,net_margin,gross_margin
Caesar Salad,,FOOD,,262,4437.46,4695,,,
Can Downeast,,BTL BEER,,40,315.61,320,71.2,244.41,248.8
Can Downeast Flavor,,BTL BEER,,24,192.22,198,42.72,149.5,155.28
Can High Noon Black Cherry,,BTL BEER,,14,139,140,42.14,96.86,97.86
Can High Noon Grapefruit,,BTL BEER,,9,80,90,27.09,52.91,62.91
Can High Noon Pineapple,,BTL BEER,,13,128.4,130,39.13,89.27,90.87
Can High Noon Watermelon,,BTL BEER,,11,104.2,110,33.11,71.09,76.89
Canadian Club,Manhattan,LIQUOR,,4,39,40,11.8,27.2,28.2
Canadian Club,RX,LIQUOR,,1,8.5,8.5,2.43,6.07,6.07
Cappucino,,BEVERAGES,,42,243.24,252,18.9,224.34,233.1
Captain Morgan,Mix,LIQUOR,,76,496.83,513,,,
Captain Morgan,DBL,LIQUOR,,25,198.82,200,,,
Captain Morgan,Mug Dbl,LIQUOR,,4,24.85,27,,,
Captain Morgan,Shot,LIQUOR,,1,5,6,,,
Captain Morgan,RX,LIQUOR,,4,40,40,,,
Carol's,,LIQUOR,,40,577.3,588,,,
Casamigos,RX,LIQUOR,,2,50,50,,,
Casamigos,Mix,LIQUOR,,7,122,122,,,
Casamigos,DBL,LIQUOR,,4,69.77,76,,,
Chambord,RX,LIQUOR,,1,15,15,,,
Chambord,DBL,LIQUOR,,1,12,12,,,
Chambord,Mix,LIQUOR,,1,10,10,,,
Cheese Curds,,,,1,10,10,,,
Cheese Platter,,BANQUETS,,5,255.46,300,,,
Cheesecake du Jour,,FOOD,,160,1292.3,1349,,,
Cherry Vodka,Mix,LIQUOR,,1,7,7,,,
Chicken Burger,,FOOD,,38,536.53,631.25,190,346.53,441.25
Chicken Cutlet Club,,FOOD,,251,3806.18,4028.5,1129.5,2676.68,2899
Chicken Finger,,FOOD,,34,295.57,340,,,
Chicken Marsala,,FOOD,,11,200,220,,,
Chicken Parm Family Platter,,FOOD,,34,1463.19,1530,,,
Chicken Parmesan Sandwich,,FOOD,,9,119,127,,,
Chicken Parmigiana,,FOOD,,405,7208.76,7570.5,2227.5,4981.26,5343
Chicken Pot Pie,,FOOD,,381,5897.01,6096,,,
Chicken Salad Pita,,FOOD,,209,3042.96,3142,1045,1997.96,2097
Chili,Cup,FOOD,,97,568.58,583.5,,,
Chili,Bowl,FOOD,,80,635.97,644,,,
Chimichurri Steak Salad,,FOOD,,134,2745.67,2822,909.86,1835.81,1912.14
Chocolate Milk,,BEVERAGES,,16,54.33,56,8.8,45.53,47.2
Chocolate Pie,,FOOD,,92,751.99,830,,,
Chocolate Vodka,Martini,LIQUOR,,2,20,20,,,
Club Soda,,BEVERAGES,,193,376.07,386,28.95,347.12,357.05
Coconut Rum,Mix,LIQUOR,,77,218.83,539,,,
Coconut Rum,DBL,LIQUOR,,2,16.5,16.5,,,
Coconut Rum,Mug Dbl,LIQUOR,,1,5.22,7,,,
Coconut Rum,RX,LIQUOR,,1,10,10,,,
Coffee,,BEVERAGES,,454,1337.13,1362,68.1,1269.03,1293.9
Coffee Mug,,RETAIL,,5,75,75,,,
Coke,,BEVERAGES,,378,1071.76,1096.2,166.32,905.44,929.88
Compari,RX,LIQUOR,,1,13.6,15,,,
Compari,Mix,LIQUOR,,1,8.72,9.5,1.38,7.34,8.12
Conklin Tickets,,RETAIL,,17,1105,1105,,,
Cookie Tray,Full,BANQUETS,,5,350,350,,,
Crab Cake Sandwich,,FOOD,,190,3620.14,3806,1793.6,1826.54,2012.4
Crab Cakes,,BANQUETS,,18,324,324,,,
Cranberry Juice,,BEVERAGES,,23,70.27,71.3,,,
Cranberry Quinoa Salad,,FOOD,,233,4056.11,4355,1025.2,3030.91,3329.8
Creme Brulee,,FOOD,,183,1522.39,1566.5,,,
Crown Royal,Manhattan,LIQUOR,,13,192.16,208,52,140.16,156
Crown Royal,RX,LIQUOR,,2,30,30,6.66,23.34,23.34
Crown Royal,Mix,LIQUOR,,4,36.34,38,7.84,28.5,30.16
Crown Royal,DBL,LIQUOR,,4,48,48,10.08,37.92,37.92
Cuervo,Mix,LIQUOR,,7,71.75,71.75,,,
Cuervo,DBL,LIQUOR,,3,28.5,28.5,,,
Daiquiri,,LIQUOR,,2,15.01,16,,,
Dbl Decaf Espresso,,BEVERAGES,,1,5,5,0.84,4.16,4.16
Dbl Espresso,,BEVERAGES,,13,57.98,58.5,9.88,48.1,48.62
Deanne's,,LIQUOR,,76,683.17,700,,,
Decaf Cappucino,,BEVERAGES,,14,83.89,87.5,6.72,77.17,80.78
Decaf Coffee,,BEVERAGES,,150,453.34,465,18,435.34,447
Decaf Espresso,,BEVERAGES,,1,4.08,4.5,0.42,3.66,4.08
Decaf Tea,,BEVERAGES,,17,42.12,42.5,1.87,40.25,40.63
Dessert Du Jour,,,,20,172.31,185,,,
Dft Black & Tan,,DFT BEER,,1,5,5,0.89,4.11,4.11
Dft Guinness,,DFT BEER,,234,1777.3,1872,,,
Dft Hoff,,DFT BEER,,243,1684.86,1850.25,,,
Dft Kronenbourg,,DFT BEER,,217,1613.19,1681.75,,,
Dft Laguinitas,,DFT BEER,,273,1730.57,1940.75,,,
Dft Little Nator,,DFT BEER,,145,814.41,962,,,
Dft Modello,,DFT BEER,,104,801.91,835,,,
Dft Perpetual,,DFT BEER,,346,2302.79,2422,,,
Dft Stella,,DFT BEER,,380,1834.38,2470,,,
Dft Ultra,,DFT BEER,,216,1073.36,1189,,,
Dft Yuengling,,DFT BEER,,566,2144.62,2831,,,
Diet Coke,,BEVERAGES,,436,1230.59,1264.4,191.84,1038.75,1072.56
Dolce De Leche,,FOOD,,50,441.09,450,,,
Double Cappucino,,BEVERAGES,,2,12,12,0.9,11.1,11.1
Drambuie,DBL,LIQUOR,,4,60,60,,,
Drambuie,RX,LIQUOR,,1,18,18,,,
Eggplant Parmigiana,,FOOD,,109,1662.37,1744,,,
Espolon,DBL,LIQUOR,,1,12.74,13,,,
Espolon,RX,LIQUOR,,1,17.63,18,,,
Espolon,Mix,LIQUOR,,31,343.82,350,,,
Espolon,Shot,LIQUOR,,1,4.5,9,,,
Espresso,,BEVERAGES,,26,103.22,104,9.88,93.34,94.12
Extra Person Charge,,HOTEL ROOMS,,7,175,175,,,
Fajita Salad,,FOOD,,183,3722.07,3834,516.06,3206.01,3317.94
Fall Harvest Salad,,FOOD,,180,3566.78,3757,669.6,2897.18,3087.4
Filthy Root Beer,,BEVERAGES,,40,315.99,320,,,
Fish Sticks,,FOOD,,11,94.5,99,,,
Frangelico,Mix,LIQUOR,,1,10,10,1.5,8.5,8.5
French Dip,,FOOD,,378,7326.52,7571.5,2835,4491.52,4736.5
French Fries,,FOOD,,966,1904.18,1939.25,966,938.18,973.25
French Onion Soup,,FOOD,,611,4793.21,4889.5,,,
Fruit Platter,,BANQUETS,,1,44.1,50,,,
Fuzzy Navel,,LIQUOR,,1,7,7,,,
Garden Salad,Full,BANQUETS,,2,80,80,,,
Gift Card,,GIFT CARD,,39,2940,3450,,,
Gift Card $10,,GIFT CARD,,5,50,50,,,
Gift Card $100,,GIFT CARD,,20,2000,2000,,,
Gift Card $25,,GIFT CARD,,1,25,25,,,
Gift Card $50,,GIFT CARD,,26,1300,1300,,,
Ginger Beer,,BEVERAGES,,1,2.9,2.9,,,
Gingerale,,BEVERAGES,,81,229.26,234.9,38.88,190.38,196.02
Glenlivet 12,RX,LIQUOR,,4,126.05,128,,,
Glenlivet 12,DBL,LIQUOR,,6,117,120,,,
Gls  Ca'del Pinot Grigio,6 oz.,GLASS WINE,,135,1287.64,1352,,,
Gls  Ca'del Pinot Grigio,9 oz.,GLASS WINE,,156,2221.41,2340,,,
Gls Brut,6 oz.,GLASS WINE,,18,228.07,234,,,
Gls Cathedral Sav Blanc,9 oz.,GLASS WINE,,145,1941.7,2030,,,
Gls Cathedral Sav Blanc,6 oz.,GLASS WINE,,77,670.45,693,,,
Gls Collier Cab,6 oz.,GLASS WINE,,118,986.08,1070,,,
Gls Collier Cab,9 oz.,GLASS WINE,,190,2600.32,2660,,,
Gls Collier Chard,6 oz.,GLASS WINE,,104,889.34,936,,,
Gls Collier Chard,9 oz.,GLASS WINE,,142,1944.35,1988,,,
Gls Daou Cab,6 oz.,GLASS WINE,,23,264.91,276,,,
Gls Daou Cab,9 oz.,GLASS WINE,,56,916.11,952,,,
Gls Domaine Rose,6 oz.,GLASS WINE,,26,223,234,,,
Gls Domaine Rose,9 oz.,GLASS WINE,,39,479.81,546,,,
Gls Grahams,,GLASS WINE,,1,6,6,,,
Gls Lamarco Prosecco,,GLASS WINE,,2,20.72,24,,,
Gls Merlot,6 oz.,GLASS WINE,,35,409.23,420,,,
Gls Merlot,9 oz.,GLASS WINE,,67,1104.92,1139,,,
Gls Muir Wood Chard,6 oz.,GLASS WINE,,35,412.6,420,,,
Gls Muir Wood Chard,9 oz.,GLASS WINE,,70,1141.78,1190,,,
Gls Pessimist,9 oz.,GLASS WINE,,60,927.27,960,,,
Gls Pessimist,6 oz.,GLASS WINE,,22,238.7,242,,,
Gls Pinot Noir,6 oz.,GLASS WINE,,82,878.55,910,,,
Gls Pinot Noir,9 oz.,GLASS WINE,,101,1560.64,1616,,,
Gls White Zinfandel,6 oz.,GLASS WINE,,29,257.66,261,,,
Gls White Zinfandel,9 oz.,GLASS WINE,,27,316.42,378,,,
Grand Marnier,Mix,LIQUOR,,1,10,10,,,
Grand Marnier,DBL,LIQUOR,,1,12,12,,,
Grape Vodka,DBL,LIQUOR,,5,39.47,41.25,,,
Grapefruit Juice,,BEVERAGES,,1,3.1,3.1,,,
Grey Goose,Mix,LIQUOR,,28,289.37,298,,,
Grey Goose,Martini,LIQUOR,,68,1149.74,1187.5,,,
Grey Goose,RX,LIQUOR,,15,215.19,240,,,
Grey Goose,DBL,LIQUOR,,3,39,39,,,
Hennessey,RX,LIQUOR,,5,78.35,80,,,
Hennessey,Mix,LIQUOR,,1,10,11,,,
Hennessey,DBL,LIQUOR,,1,13,13,,,
Historic Room,,HOTEL ROOMS,,25,3500,3500,,,
Honey Ginger Brew,,BEVERAGES,,10,80,80,15.5,64.5,64.5
Honey Mustard Chicken Wrap,,FOOD,,149,2159.02,2238.5,658.58,1500.44,1579.92
Hot Chocolate,,BEVERAGES,,28,89.5,91,,,
Hot Tea,,BEVERAGES,,179,434.35,447.5,35.8,398.55,411.7
House Salad,,FOOD,,44,634.61,679,,,
IET Room,,HOTEL ROOMS,,6,600,600,,,
Ice Cream,,FOOD,,56,331.66,336,,,
Irish Coffee,,LIQUOR,,34,255.65,273,,,
JW Black,RX,LIQUOR,,1,19,19,,,
JW Black,Mix,LIQUOR,,2,25,26,,,
JW Blue,DBL,LIQUOR,,1,51.44,60,,,
Jack Daniels,Shot,LIQUOR,,16,105,112,13.6,91.4,98.4
Jack Daniels,Mix,LIQUOR,,42,299.84,336,65.94,233.9,270.06
Jack Daniels,DBL,LIQUOR,,38,207.39,323,72.2,135.19,250.8
Jack Daniels,RX,LIQUOR,,17,214.3,221,43.35,170.95,177.65
Jack Daniels,Mug Dbl,LIQUOR,,5,37.5,37.5,7.85,29.65,29.65
Jack Daniels,Manhattan,LIQUOR,,1,14,15,3.1,10.9,11.9
Jack Fire,DBL,LIQUOR,,5,48.59,50,11.1,37.49,38.9
Jack Fire,RX,LIQUOR,,2,25.08,28,5.76,19.32,22.24
Jack Fire,Shot,LIQUOR,,4,27,28,3.84,23.16,24.16
Jack Fire,Mix,LIQUOR,,6,47.9,48,10.44,37.46,37.56
Jaeger Schnitzel,,FOOD,,325,6936.08,7160.5,1088.75,5847.33,6071.75
Jagermeister,DBL,LIQUOR,,4,36,36,7.36,28.64,28.64
Jagermeister,Shot,LIQUOR,,1,5,6,,,
Jameson,Mix,LIQUOR,,45,440.35,450,99.9,340.45,350.1
Jameson,DBL,LIQUOR,,12,144,144,34.32,109.68,109.68
Jameson,Shot,LIQUOR,,29,142,232,37.12,104.88,194.88
Jameson,RX,LIQUOR,,11,152.62,165,42.24,110.38,122.76
Janel's,,LIQUOR,,33,379.25,397,,,
Jim Beam Black,Shot,LIQUOR,,35,0,282,,,
Jim Beam Black,RX,LIQUOR,,1,10.54,13,,,
Jim Beam Black,DBL,LIQUOR,,1,11,11,,,
Jim Beam Black,Mix,LIQUOR,,5,41.5,43.5,,,
Jim Beam Black,Manhattan,LIQUOR,,5,77,80,,,
Jumbo Lump Crab Cakes,,FOOD,,61,2394.02,2440,989.42,1404.6,1450.58
Jumbo Sea Scallops,,FOOD,,190,5264.1,5320,1816.4,3447.7,3503.6
Kahlua,Mix,LIQUOR,,3,22.54,24,,,
Kahlua,RX,LIQUOR,,1,13,13,,,
Kamikazee,,LIQUOR,,2,15,15,,,
Katie's,,LIQUOR,,87,902.01,936,,,
Kentucky Coffee,,LIQUOR,,13,130,130,,,
Ketel One,Martini,LIQUOR,,65,1051.53,1082,,,
Ketel One,Mix,LIQUOR,,54,498.21,520,,,
Ketel One,Mug Dbl,LIQUOR,,29,274.82,283.5,,,
Ketel One,RX,LIQUOR,,3,42.44,45,,,
Kids Beef Sliders,,FOOD,,68,586.9,619,,,
Kids Brunch,,FOOD,,77,998.68,1001,,,
Kids Chicken Fingers,,FOOD,,152,1276.45,1368,,,
Kids Grilled Cheese,,FOOD,,48,427.94,434,,,
Kids Ice Cream,,FOOD,,45,173.92,180,,,
Kids Pasta,,FOOD,,72,634.43,690,,,
Kids Pizza,,FOOD,,28,252.73,255,,,
Kir Royal,,GLASS WINE,,1,7,7,,,
Knob Creek,RX,LIQUOR,,15,218.91,225.5,,,
Knob Creek,DBL,LIQUOR,,2,26,26,,,
Knob Creek,Manhattan,LIQUOR,,8,130,136,,,
Knob Creek,Mix,LIQUOR,,3,32,33,,,
Knob Rye,RX,LIQUOR,,1,18,18,3.72,14.28,14.28
Knob Rye,Manhattan,LIQUOR,,1,17.24,21,4.54,12.7,16.46
Krieghoff Room,,HOTEL ROOMS,,4,400,400,,,
Lemon Crumb,,FOOD,,52,402.93,416,,,
Lemon Drop Shot,,LIQUOR,,4,26,26,,,
Lemonade,,BEVERAGES,,76,216.08,220.4,36.48,179.6,183.92
Lentil Curry,,FOOD,,84,1342.5,1384.5,,,
Lettuce Wraps,,FOOD,,307,3623.76,4303.5,1151.25,2472.51,3152.25
Linguine & Clams,,FOOD,,47,2026.48,2070,657.06,1369.42,1412.94
Loaded Fries,,FOOD,,7,31.5,39.5,,,
Long Island Ice Tea,,LIQUOR,,63,438.88,693,,,
Macallan 12,RX,LIQUOR,,5,137.92,150,,,
Macallan 12,DBL,LIQUOR,,3,53,54,,,
Macallan 18,DBL,LIQUOR,,1,54.4,60,,,
Macallan 18,RX,LIQUOR,,1,70,70,,,
Mai Tai,,LIQUOR,,1,8,8,,,
Makers Mark,RX,LIQUOR,,57,881.05,912,,,
Makers Mark,Manhattan,LIQUOR,,35,601.23,630,,,
Makers Mark,DBL,LIQUOR,,5,65,65,,,
Makers Mark,Mix,LIQUOR,,12,119,120,,,
Makers Mark,Mug Dbl,LIQUOR,,1,10,10,,,
Mango Vodka,DBL,LIQUOR,,1,7.25,8.25,,,
Mango Vodka,Martini,LIQUOR,,3,28,30,,,
Meatloaf,,FOOD,,231,3656.95,3699,,,
Meatloaf Family Platter,,FOOD,,13,585,585,,,
Meyers Dark,Mix,LIQUOR,,5,31.33,34.5,,,
Meyers Dark,DBL,LIQUOR,,1,6.5,7.5,,,
Miguel's,,LIQUOR,,160,1803.03,1893,,,
Milk,,BEVERAGES,,10,31.84,32.5,5,26.84,27.5
Mimosa,,GLASS WINE,,24,109.86,132,,,
Mimosa Jug,,BANQUETS,,4,252.07,300,,,
Mockarita,,BEVERAGES,,26,224.15,234,45.5,178.65,188.5
Morgan's,,LIQUOR,,119,1219.01,1236,,,
Mozzarella Eggrolls,,FOOD,,279,2787.19,3348,602.64,2184.55,2745.36
Mudslide,,LIQUOR,,1,6,7,,,
Mug Club Domestic,,DFT BEER,,230,859.74,924,,,
Mug Club Domestic HH,,DFT BEER,,87,335.34,436,,,
Mug Club Import / Craft,,DFT BEER,,293,1388.49,1474,,,
Mug Club Import HH,,DFT BEER,,91,443.56,548,,,
Mug Club Purchase,,RETAIL,,57,5651.86,5720,,,
Mug club Renewal,,RETAIL,,12,348.3,362,,,
New York Strip Steak,,FOOD,,193,6066.86,6203.5,1958.95,4107.91,4244.55
OPEN Beer,,BTL BEER,,1,6.5,6.5,,,
OPEN Food Expo,,FOOD,,64,11881.12,11935.87,,,
OPEN Liquor,,LIQUOR,,3,6.01,26.01,,,
OPEN Wine,,GLASS WINE,,1,5.5,5.5,,,
Old Grandad,DBL,LIQUOR,,3,25.5,25.5,5.7,19.8,19.8
Old Grandad,Mug Dbl,LIQUOR,,8,56.53,60,12.56,43.97,47.44
Old Grandad,Mix,LIQUOR,,5,30,37.5,7.85,22.15,29.65
Old Grandad,RX,LIQUOR,,2,22,22,5.1,16.9,16.9
Onion Petals,,FOOD,,104,560.62,610,213.2,347.42,396.8
Open Food Fry,,FOOD,,5,15.01,38.01,,,
Open Food Oven,,FOOD,,2,26.95,34,,,
Open Food Pantry,,FOOD,,14,81,99.5,,,
Open Food Sautee,,FOOD,,7,46.34,75,,,
Open Hotel,,HOTEL ROOMS,,9,5563.16,5563.16,,,
Open Refund,,CATERING DEPOSIT,,1,-177.2,-177.2,,,
Orange Juice,,BEVERAGES,,84,248.69,260.4,,,
Orange Vodka,Mix,LIQUOR,,28,182.17,196,,,
Orange Vodka,Martini,LIQUOR,,6,60.16,66,,,
Orange Vodka,DBL,LIQUOR,,1,8.25,8.25,,,
Party Deposit,,CATERING DEPOSIT,,45,9470,9470,,,
Pasta Salad,Full,BANQUETS,,3,150,150,,,
Patron,Mix,LIQUOR,,25,411.22,417,,,
Patron,Shot,LIQUOR,,7,91,91,,,
Patron,RX,LIQUOR,,5,100,115,,,
Patron,DBL,LIQUOR,,5,88.85,90,,,
Peach Schnapps,Mix,LIQUOR,,1,5,6,,,
Peach Schnapps,Shot,LIQUOR,,1,5.5,5.5,,,
Peanut Butter Mart,,LIQUOR,,21,181.91,208,,,
Pecan Pie,,FOOD,,36,289.97,292,,,
Pelligrino,,BEVERAGES,,22,73.63,77,,,
Petite Filet,,FOOD,,213,6236.05,6456.5,1578.33,4657.72,4878.17
Pina Colada,,LIQUOR,,1,7,8,,,
Pineapple Juice,,BEVERAGES,,4,11.58,12.4,,,
Plum Coffee,,LIQUOR,,10,100,100,,,
Pomegranate Vodka,Martini,LIQUOR,,3,30,30,,,
Portobello Burger,,FOOD,,73,1057.29,1097,,,
Premium Long Island,,LIQUOR,,9,132,135,,,
Pretzels,,FOOD,,438,5008.3,5696,328.5,4679.8,5367.5
Prime Pork Chop,,FOOD,,126,3909.79,4038,1362.06,2547.73,2675.94
Prosecco,,GLASS WINE,,59,793.49,826,,,
Raspberry Almost,,BEVERAGES,,17,136,152,17,119,135
Raspberry Lemon Mart,,LIQUOR,,6,38.92,48,,,
Raspberry Tea,,BEVERAGES,,91,256.81,263.9,43.68,213.13,220.22
Raspberry Vodka,DBL,LIQUOR,,1,8.25,8.25,,,
Raspberry Vodka,Martini,LIQUOR,,3,33,33,,,
Raspberry Vodka,Mix,LIQUOR,,1,7,7,,,
Ricotta Crab Fritters,,FOOD,,243,3540.37,4374,1944,1596.37,2430
Roast Pork,Full,BANQUETS,,2,240,240,,,
Room Charge,,BANQUETS,,2,300,300,,,
Rootbeer,,BEVERAGES,,53,148.99,153.7,25.44,123.55,128.26
Rumple Minze,Shot,LIQUOR,,4,23,24,,,
Rusty Nail,,LIQUOR,,1,8,8,,,
SP Alfredo,,FOOD,,100,3271.99,3391,,,
SP Croquettes,,FOOD,,170,2308.61,2440,,,
SP Margarita,,LIQUOR,,126,2931.42,3058,,,
SP Platter,,FOOD,,191,3464.43,3721,,,
SP Prime Rib,,FOOD,,78,1159.79,1226,,,
SP Salad,,FOOD,,127,2336.38,2453.5,,,
SP Scallops,,FOOD,,126,2464.58,2588.5,,,
SP Sea Bass,,FOOD,,97,2572.59,2676.5,,,
Sambuca,DBL,LIQUOR,,3,27,27,,,
Sambuca,Shot,LIQUOR,,3,24,24,,,
Sambuca,RX,LIQUOR,,2,22,22,,,
Sangria Jug,,BANQUETS,,2,127.02,170,,,
Sautéed Liver,,FOOD,,2,48,48,,,
Sauza,Mix,LIQUOR,,3,20.38,24.5,,,
Sauza,Mug Dbl,LIQUOR,,43,318.22,332.5,,,
Sauza,Shot,LIQUOR,,3,19.5,19.5,,,
Seafood Soup,Cup,FOOD,,65,505.86,520,,,
Seafood Soup,Bowl,FOOD,,35,336.25,350,,,
